iso_code,continent,location,date,population
OWID_AFR,,Africa,20200419,1340598113
OWID_AFR,,Africa,20200420,1340598113
OWID_AFR,,Africa,20200421,1340598113
OWID_AFR,,Africa,20200422,1340598113
OWID_AFR,,Africa,20200423,1340598113
OWID_AFR,,Africa,20200424,1340598113
OWID_AFR,,Africa,20200425,1340598113
OWID_AFR,,Africa,20200426,1340598113
OWID_AFR,,Africa,20200427,1340598113
OWID_AFR,,Africa,20200428,1340598113
OWID_AFR,,Africa,20200429,1340598113
OWID_AFR,,Africa,20200430,1340598113
OWID_AFR,,Africa,20200501,1340598113
OWID_AFR,,Africa,20200502,1340598113
OWID_AFR,,Africa,20200503,1340598113
OWID_AFR,,Africa,20200504,1340598113
OWID_AFR,,Africa,20200505,1340598113
OWID_AFR,,Africa,20200506,1340598113
OWID_AFR,,Africa,20200507,1340598113
OWID_AFR,,Africa,20200508,1340598113
OWID_AFR,,Africa,20200509,1340598113
OWID_AFR,,Africa,20200510,1340598113
OWID_AFR,,Africa,20200511,1340598113
OWID_AFR,,Africa,20200512,1340598113
OWID_AFR,,Africa,20200513,1340598113
OWID_AFR,,Africa,20200514,1340598113
OWID_AFR,,Africa,20200515,1340598113
OWID_AFR,,Africa,20200516,1340598113
OWID_AFR,,Africa,20200517,1340598113
OWID_AFR,,Africa,20200518,1340598113
OWID_AFR,,Africa,20200519,1340598113
OWID_AFR,,Africa,20200520,1340598113
OWID_AFR,,Africa,20200521,1340598113
OWID_AFR,,Africa,20200522,1340598113
OWID_AFR,,Africa,20200523,1340598113
OWID_AFR,,Africa,20200524,1340598113
OWID_AFR,,Africa,20200525,1340598113
OWID_AFR,,Africa,20200526,1340598113
OWID_AFR,,Africa,20200527,1340598113
OWID_AFR,,Africa,20200528,1340598113
OWID_AFR,,Africa,20200529,1340598113
OWID_AFR,,Africa,20200530,1340598113
OWID_AFR,,Africa,20200531,1340598113
OWID_AFR,,Africa,20200601,1340598113
OWID_AFR,,Africa,20200602,1340598113
OWID_AFR,,Africa,20200603,1340598113
OWID_AFR,,Africa,20200604,1340598113
OWID_AFR,,Africa,20200605,1340598113
OWID_AFR,,Africa,20200606,1340598113
OWID_AFR,,Africa,20200607,1340598113
OWID_AFR,,Africa,20200608,1340598113
OWID_AFR,,Africa,20200609,1340598113
OWID_AFR,,Africa,20200610,1340598113
OWID_AFR,,Africa,20200611,1340598113
OWID_AFR,,Africa,20200612,1340598113
OWID_AFR,,Africa,20200613,1340598113
OWID_AFR,,Africa,20200614,1340598113
OWID_AFR,,Africa,20200615,1340598113
OWID_AFR,,Africa,20200616,1340598113
OWID_AFR,,Africa,20200617,1340598113
OWID_AFR,,Africa,20200618,1340598113
OWID_AFR,,Africa,20200619,1340598113
OWID_AFR,,Africa,20200620,1340598113
OWID_AFR,,Africa,20200621,1340598113
OWID_AFR,,Africa,20200622,1340598113
OWID_AFR,,Africa,20200623,1340598113
OWID_AFR,,Africa,20200624,1340598113
OWID_AFR,,Africa,20200625,1340598113
OWID_AFR,,Africa,20200626,1340598113
OWID_AFR,,Africa,20200627,1340598113
OWID_AFR,,Africa,20200628,1340598113
OWID_AFR,,Africa,20200629,1340598113
OWID_AFR,,Africa,20200630,1340598113
OWID_AFR,,Africa,20200701,1340598113
OWID_AFR,,Africa,20200702,1340598113
OWID_AFR,,Africa,20200703,1340598113
OWID_AFR,,Africa,20200704,1340598113
OWID_AFR,,Africa,20200705,1340598113
OWID_AFR,,Africa,20200706,1340598113
OWID_AFR,,Africa,20200707,1340598113
